ID_Audio,Tiempo_Whisper_s,Texto_Whisper_Medium,Texto_Corregido_Manual
spontaneous-speech-es-71834.wav,51.044,"Mi festividad favorita es la navidad, se festeja en familia con mucha comida y muchos regalos.","Mi festividad favorita es la navidad, se festeja en familia con mucha comida y muchos regalos."
spontaneous-speech-es-71835.wav,49.77,¿Qué mascotas son las preferidas en donde vives? Eh... Me lo invalido. Eh... Los perros son las mascotas preferidas en donde vivo porque son muy compañeros y siempre están alegres.,¿Qué mascotas son las preferidas en donde vives? Eh... Me lo invalido. Eh... Los perros son las mascotas preferidas en donde vivo porque son muy compañeros y siempre están alegres.
spontaneous-speech-es-74952.wav,38.364,"espinaca, selga, zanahoria, carnes rojas","espinaca, acelga, zanahoria, carnes rojas"
spontaneous-speech-es-74953.wav,38.205,en algún momento entre la primaria y la secundaria.,en algún momento entre la primaria y la secundaria.
spontaneous-speech-es-74954.wav,37.387,y por mi región normalmente los niños juegan al fútbol,y por mi región normalmente los niños juegan al fútbol
spontaneous-speech-es-74955.wav,39.127,"Me gusta la pintura, la música, las artes multimediales.","Me gusta la pintura, la música, las artes multimediales."
spontaneous-speech-es-74956.wav,44.554,Generalmente los domingos la gente se junta en familia a comer pasta o asado.,Generalmente los domingos la gente se junta en familia a comer pasta o asado.
spontaneous-speech-es-74957.wav,43.359,Y acá en la zona de Buenos Aires el baile tradicional es tango y se baila en distintas competiciones y celebraciones.,Y acá en la zona de Buenos Aires el baile tradicional es tango y se baila en distintas competiciones y celebraciones.
spontaneous-speech-es-74958.wav,43.457,"tomar mate, leer las noticias, desayunar, los que prefieren desayunar.","tomar mate, leer las noticias, desayunar, los que prefieren desayunar."
spontaneous-speech-es-74959.wav,40.386,"generalmente una botella de vino, una caja de bombones o alguien trae un postre como puede ser un helado","generalmente una botella de vino, una caja de bombones o alguien trae un postre como puede ser un helado"
spontaneous-speech-es-74960.wav,50.133,"Yo por lo menos prefiero el frío porque cuando hace calor uno no puede seguir sacándose la piel, en cambio cuando uno tiene frío sí puede seguir poniéndose ropa y además el frío estéticamente, la ropa que se usa cuando hace frío es bastante superior a la que se usa cuando hace calor.","Yo por lo menos prefiero el frío porque cuando hace calor uno no puede seguir sacándose la piel, en cambio cuando uno tiene frío sí puede seguir poniéndose ropa y además el frío estéticamente, la ropa que se usa cuando hace frío es bastante superior a la que se usa cuando hace calor."
spontaneous-speech-es-78185.wav,34.764,lavarse los dientes.,lavarse los dientes.
spontaneous-speech-es-79577.wav,40.587,¿Qué consejos dan usualmente los mayores a los jóvenes?,¿Qué consejos dan usualmente los mayores a los jóvenes?
spontaneous-speech-es-80760.wav,34.649,"Sí, me gusta tocar el piano.","Sí, me gusta tocar el piano."
spontaneous-speech-es-80761.wav,36.996,"Me gusta la astronomía, así que conozco muchos nombres de estrellas y constelaciones.","Me gusta la astronomía, así que conozco muchos nombres de estrellas y constelaciones."
spontaneous-speech-es-80762.wav,38.106,"Elementos nutritivos pueden ser frutas y verduras, carnes magras, legumbres, cereales.","Elementos nutritivos pueden ser frutas y verduras, carnes magras, legumbres, cereales."
spontaneous-speech-es-80763.wav,38.237,Me gustan los juegos de mesa con un componente de estrategia que te hagan pensar pero no en exceso.,Me gustan los juegos de mesa con un componente de estrategia que te hagan pensar pero no en exceso.
spontaneous-speech-es-82589.wav,37.78,Hay que desayunar y lavar los dentes.,Hay que desayunar y lavar los dentes.
spontaneous-speech-es-82590.wav,42.949,¡Pauco!,¡Pauco!
spontaneous-speech-es-83306.wav,41.051,demostrando educación y respeto contra todas las personas.,demostrando educación y respeto contra todas las personas.
spontaneous-speech-es-83308.wav,39.902,"Me parece excelente trabajar de remoto, evitaría tanta contaminación ambiental de los coches.","Me parece excelente trabajar de remoto, evitaría tanta contaminación ambiental de los coches."
spontaneous-speech-es-83311.wav,33.055,"No, no tengo mi libro favorito.","No, no tengo mi libro favorito."
spontaneous-speech-es-83314.wav,32.014,Tengo en cuenta siempre a mi familia como padres y madres y hermanos.,Tengo en cuenta siempre a mi familia como padres y madres y hermanos.
spontaneous-speech-es-83316.wav,36.228,me gusta pasear en el mar. Un barco ir siempre en la popa del barco y el pasada ser excelente.,me gusta pasear en el mar. Un barco ir siempre en la popa del barco y el paseo va a ser excelente.
spontaneous-speech-es-83318.wav,36.276,"amarillo, púrpura, azul, rosa, verde.","amarillo, púrpura, azul, rosa, verde."
spontaneous-speech-es-83330.wav,36.187,"cosa mayor, Oreo y Vera.","osa mayor, orion y vera."
spontaneous-speech-es-83336.wav,44.341,"Los tres cerditos que construyeron su casa, el lobo se lo destruyó, sublando.","Los tres cerditos que construyeron su casa, el lobo se lo destruyó, soplando."
spontaneous-speech-es-83341.wav,38.872,"la fruta, vegetales y carnes","la fruta, vegetales y carnes"
spontaneous-speech-es-83342.wav,69.565,Si un poco,Super Coss
spontaneous-speech-es-83345.wav,36.989,Lo más difícil es el emprendimiento y conseguir el fondo de comercio.,Lo más difícil es el emprendimiento y conseguir el fondo de comercio.
spontaneous-speech-es-83347.wav,31.403,salir a divertirnos,salir a divertirnos
spontaneous-speech-es-83350.wav,35.866,Me gusta la manzana y la manzana es redona y verde.,Me gusta la manzana y la manzana es redona y verde.
spontaneous-speech-es-83351.wav,41.513,funciona como una antena que para los frayos para evitar que peguen de las casas o cosas.,funciona como una antena que para los rayos para evitar que peguen de las casas o cosas.
spontaneous-speech-es-83354.wav,35.757,"En unos casos será beneficiosa, pero en otros no porque van a suplementar al ser humano.","En unos casos será beneficiosa, pero en otros no porque van a suplementar al ser humano."
spontaneous-speech-es-83357.wav,197.837,es como tribuimos con este programa porque nos lo exige el colegio de la Ciudad de Galicia.,es como tribuimos con este programa porque nos lo exige el colegio de la Ayunte Galicia.
spontaneous-speech-es-83360.wav,33.699,"Cada día, en el paso se aprende algo del mundo y de las personas.","Cada día, que pasa se aprende algo del mundo y de las personas."
spontaneous-speech-es-83362.wav,31.445,desayuna y ir a trabajar y estudiar.,desayuna y ir a trabajar y estudiar.
spontaneous-speech-es-83364.wav,34.098,¿Cómo? Un... Un... una marca No tan cara que sea buena,¿Cómo? Un... Un... una marca No tan cara que sea buena
spontaneous-speech-es-83365.wav,31.719,Pasear y algunas veces descansar.,Pasear y algunas veces descansar.
spontaneous-speech-es-83368.wav,33.003,"Muy bonita y sencilla, es lo mejor que se puede hacer.","Muy bonita y sencilla, es lo mejor que se puede hacer."
spontaneous-speech-es-83371.wav,33.673,Anecdotas de los crecimientos de cada uno y de las experiencias vividas.,Anecdotas de los crecimientos de cada uno y de las experiencias vividas.
spontaneous-speech-es-83373.wav,33.221,¡Gracias por los inusuales datos!,¡Las perros y los gatos!
spontaneous-speech-es-83375.wav,266.136,¡G Wales biblical!,¡Muy poco!
spontaneous-speech-es-83376.wav,214.324,sí,sí
spontaneous-speech-es-83379.wav,31.924,Dormir.,Dormir.
spontaneous-speech-es-83381.wav,31.967,jugar o jugar con la tablet,jugar o jugar con la tablet
spontaneous-speech-es-83386.wav,29.882,decorando su casa.,decorando su casa.
spontaneous-speech-es-83388.wav,29.704,una buena educación.,una buena educación.
spontaneous-speech-es-83391.wav,31.771,respetar y ayudar y ayudar a nuestros vecinos.,respetar y ayudar y ayudar a nuestros vecinos.
spontaneous-speech-es-83393.wav,29.519,¡U Lamborghini!,¡U Lamborghini!
