ID_Audio,Referencia,Whisper,Latencia_Whisper,Duracion_s,Vosk,Latencia_Vosk
spontaneous-speech-es-71834.wav,"Mi festividad favorita es la navidad, se festeja en familia con mucha comida y muchos regalos.","My festividad favorita es la Navidad, se festeja en familia con mucha comida y muchos reales.",5.392926600005012,11.268,y festividad favorita es la navidad se festeja en familia con mucha comida y muchos regalos,3.2168607000203338
spontaneous-speech-es-71835.wav,¿Qué mascotas son las preferidas en donde vives? Eh... Me lo invalido. Eh... Los perros son las mascotas preferidas en donde vivo porque son muy compañeros y siempre están alegres.,"¿Qué más cotas son los profuerías en donde vías? No me lo hay malido. Los perros son las más cotas preferidas en donde vio, porque son muy compañeros y siempre están alegres.",3.5971359999966808,24.48,qué mascotas son las preferidas en donde vives feliz si los perros son las mascotas preferidas en donde vio porque son muy compañeros y siempre están alegres,8.685346800019033
spontaneous-speech-es-74952.wav,"espinaca, acelga, zanahoria, carnes rojas","El pinaca, selva, sanaodia, carne rojas.",2.188602300011553,6.372,espinaca acelga zanahoria carnes rojas,1.4802404000074603
spontaneous-speech-es-74953.wav,en algún momento entre la primaria y la secundaria.,en algún momento entre la primaria y la secundaria,2.2939855000004172,4.788,en algún momento entre la primaria y la secundaria,1.1822140000003856
spontaneous-speech-es-74954.wav,y por mi región normalmente los niños juegan al fútbol,y por mi región normalmente los niños juegan al fútbol,2.347221600008197,5.652,y por mi región normalmente los niños juegan al fútbol,1.6191746999975294
spontaneous-speech-es-74955.wav,"Me gusta la pintura, la música, las artes multimediales.","me gusta la pintura, la música, las artes multidiales",2.418115600012243,5.184,me gusta la pintura la música las artes multimediales,1.3335809000127483
spontaneous-speech-es-74956.wav,Generalmente los domingos la gente se junta en familia a comer pasta o asado.,"generalmente los domingos, la gente se junta en familia a comer pasta o a sal",2.520734799996717,6.408,generalmente los domingos la gente se junta en familia a comer pasta o asado,1.7236484999884851
spontaneous-speech-es-74957.wav,Y acá en la zona de Buenos Aires el baile tradicional es tango y se baila en distintas competiciones y celebraciones.,Y acá en la zona de Buenos Aires el baile tradicional es tango y se baila en distintas competiciones y celebraciones.,2.996895599993877,10.368,y acá en la zona de buenos aires el baile tradicional es tango y se baila en distintas competiciones y celebraciones,2.900862300011795
spontaneous-speech-es-74958.wav,"tomar mate, leer las noticias, desayunar, los que prefieren desayunar.","tomar mate, leer las noticias, desajunar los que prefieren desajunar",2.532333400013158,5.76,tomar mate leer las noticias desayunar los que prefieren desayunar,1.496342900005402
spontaneous-speech-es-74959.wav,"generalmente una botella de vino, una caja de bombones o alguien trae un postre como puede ser un helado","generalmente una botella de vino, una caja de bombones, o alguien trae un postre como puede ser un helado",2.850358800002141,7.848,generalmente una botella de vino o una caja de bombones o alguien trae un postre como puede ser un helado,2.044206300022779
spontaneous-speech-es-74960.wav,"Yo por lo menos prefiero el frío porque cuando hace calor uno no puede seguir sacándose la piel, en cambio cuando uno tiene frío sí puede seguir poniéndose ropa y además el frío estéticamente, la ropa que se usa cuando hace frío es bastante superior a la que se usa cuando hace calor.",yo por lo menos prefiero el frío porque cuando hace calor uno no puede seguir sacándose el piel en cambio cuando no tiene frío si puede seguir poniendo esa ropa y además el frío estéticamente la ropa que se usa cuando hace frío es bastante superior a la que se usa cuando hace calor,4.460685600002762,20.88,yo por lo menos prefiero el frío porque cuando hace calor uno no puede seguir sacándose la piel en cambio cuando uno tiene frío si puede seguir poniéndose ropa y además el frío estéticamente la ropa que se usa cuando hace frío es bastante superior a la que se usa cuando hace calor,5.72098390001338
spontaneous-speech-es-78185.wav,lavarse los dientes.,abarse los dientes.,2.0435891000088304,1.98,lavarse los dientes,0.691522300010547
spontaneous-speech-es-79577.wav,¿Qué consejos dan usualmente los mayores a los jóvenes?,¿Qué consejo dan usualmente los mayores a los jóvenes?,2.3547715000167955,4.716,qué consejo dan usualmente los mayores a los jóvenes,1.3067436999990605
spontaneous-speech-es-80760.wav,"Sí, me gusta tocar el piano.",Si me gusta tocar el piano.,2.0982399999920744,4.212,sí me gusta tocar el piano,1.3131302999972831
spontaneous-speech-es-80761.wav,"Me gusta la astronomía, así que conozco muchos nombres de estrellas y constelaciones.",me gustó la astronomía así que conozco muchos nombres de estrellas y constellaciones,2.713623199990252,6.228,me gusta la astronomía así que conozco muchos nombres de estrellas y constelaciones,1.530740300018806
spontaneous-speech-es-80762.wav,"Elementos nutritivos pueden ser frutas y verduras, carnes magras, legumbres, cereales.","elementos nutritivos pueden ser frutas y verduras, carnes magras, legumbres, verios.",15.344157700019423,9.468,qué elementos nutritivos pueden ser frutas y verduras carnes magras legumbres cereales,2.4946821999910753
spontaneous-speech-es-80763.wav,Me gustan los juegos de mesa con un componente de estrategia que te hagan pensar pero no en exceso.,me gusta los juegos de mesa con un componente de estrategia que te harán pensar pero no en este.,2.859946200012928,7.812,me gustan los juegos de mesa con un componente de estrategia que te hagan pensar pero no en exceso,2.2492087999999058
spontaneous-speech-es-82589.wav,Hay que desayunar y lavar los dentes.,Hay que desalunar el abaros dentes.,2.3716559000022244,5.76,hay que desayunar el avaros dentistas,1.8152910000062548
spontaneous-speech-es-82590.wav,¡Pauco!,Polk,12.185770699987188,1.548,pouco,0.5050029999983963
spontaneous-speech-es-83306.wav,demostrando educación y respeto contra todas las personas.,Demostrando educación y respeto contatoras personas.,2.3229944999911822,5.436,demostrando educación y respeto contra todas las personas,1.298480199999176
spontaneous-speech-es-83308.wav,"Me parece excelente trabajar de remoto, evitaría tanta contaminación ambiental de los coches.",me parece excelente trabajar de remotos de evitaría tanta contaminación a la venta del de los coches de,4.802774999989197,10.368,me parece excelente trabajar de remoto se evitaría tanta contaminación ambiental de los coches,2.5513680999865755
spontaneous-speech-es-83311.wav,"No, no tengo mi libro favorito.","No, no tengo liura fácil.",2.2971632000117097,2.7,no no tengo un libro favorito,0.836409299983643
spontaneous-speech-es-83314.wav,Tengo en cuenta siempre a mi familia como padres y madres y hermanos.,Tengo en cuenta siempre a mis familia como padre y madre y hermanas.,2.561928100010846,5.868,tengo en cuenta siempre a mi familia como padre y madre y hermanas,1.7553416000155266
spontaneous-speech-es-83316.wav,me gusta pasear en el mar. Un barco ir siempre en la popa del barco y el paseo va a ser excelente.,"me gusta pasear en el mar. Un barjo, siempre en la popa del barco y el pasado hacer es el ente.",3.1159112000023015,9.396,me gusta pasear en el mar un barco ir siempre en la popa del barco que pasa a ser excelente,2.825270899978932
spontaneous-speech-es-83318.wav,"amarillo, púrpura, azul, rosa, verde.",Amarillo por por Azor Rosa verde.,2.313406900007976,6.84,amarillo púrpura azul rosa verde,1.5377906000067014
spontaneous-speech-es-83330.wav,"osa mayor, orion y vera.","Cosa mayor, orio y beno.",2.326470700005302,7.02,caza mayor are you eden,3.604228999989573
spontaneous-speech-es-83336.wav,"Los tres cerditos que construyeron su casa, el lobo se lo destruyó, soplando.",Estres sarditas que construye su casa el lobo se destruyó sublando.,2.71264670000528,12.276,es tres cerditos que construye su casa el lobo se destruyó su blando,3.2549036999989767
spontaneous-speech-es-83341.wav,"la fruta, vegetales y carnes","La fruta, el etalist y carniz.",2.4338263999961782,7.02,la fruta cereales y carnes,1.7275991000060458
spontaneous-speech-es-83342.wav,Super Coss,si un poco,12.770845899998676,1.476,un poco,0.7288878999825101
spontaneous-speech-es-83345.wav,Lo más difícil es el emprendimiento y conseguir el fondo de comercio.,No más difícil es el emprendimiento y conseguir el fondo comerse.,2.6044454999791924,6.408,lo más difícil es el emprendimiento y conseguir el fondo de comercio,1.8224814000132028
spontaneous-speech-es-83347.wav,salir a divertirnos,salida,14.077537500008475,4.5,salida a pertinaz,1.8139917000080459
spontaneous-speech-es-83350.wav,Me gusta la manzana y la manzana es redona y verde.,Llegó esta la manzaní y la manzanés redone a Inverde.,2.86072610001429,4.608,me gusta la manzanilla la manzanilla redondeada y verde,2.533766000007745
spontaneous-speech-es-83351.wav,funciona como una antena que para los rayos para evitar que peguen de las casas o cosas.,Funciona es como una antena que para lo frayo para evitar que peguen de las casas o cosas.,3.2026349999941885,8.316,funciona como una antena que para dos rayos para evitar que peguen de las casas o cosas,2.8957526000158396
spontaneous-speech-es-83354.wav,"En unos casos será beneficiosa, pero en otros no porque van a suplementar al ser humano.",en unos casos será beneficiosa pero en otros no porque van a a suplementar el ser humano.,3.2964701999735553,13.176,en unos en unos casos será beneficiosa pero en otros no porque va a suplementar el ser humano,3.797151600010693
spontaneous-speech-es-83357.wav,es como tribuimos con este programa porque nos lo exige el colegio de la Ayunte Galicia.,No atribuimos con este programa porque nos los exige el colegio y las suntegalices.,3.257490100018913,8.46,contribuimos con este programa porque nos lo exige el colegio resulte galicia,3.03154659998836
spontaneous-speech-es-83360.wav,"Cada día, que pasa se aprende algo del mundo y de las personas.","La Día, ¿qué pasa se aprende algo de mundo y de las personas?",2.8593693999864627,7.02,cada día que pasa se aprende algo de mundo y de las personas,1.77500350002083
spontaneous-speech-es-83362.wav,desayuna y ir a trabajar y estudiar.,Desayuna y la trabajar y estudiar.,2.647669900004985,3.348,desayunar ir a trabajar y estudiar,1.0879871000070125
spontaneous-speech-es-83364.wav,¿Cómo? Un... Un... una marca No tan cara que sea buena,"¿Coba? Un... una marca, no tan cara que sea buena.",2.902220699994359,6.84,todo o una marca no tan cara que sea buena,2.21386300001177
spontaneous-speech-es-83365.wav,Pasear y algunas veces descansar.,Pasear y algunas veces descansar.,2.5406367999967188,4.428,pasear y algunas veces descansar,1.1524095000058878
spontaneous-speech-es-83368.wav,"Muy bonita y sencilla, es lo mejor que se puede hacer.",muy bonita y sencilla en lo mejor que se puede hacer,2.728623700008029,5.256,muy bonita y sencilla es lo mejor que se puede hacer,1.6944762999773957
spontaneous-speech-es-83371.wav,Anecdotas de los crecimientos de cada uno y de las experiencias vividas.,al mec dotas en los crecimientos de cada uno y de las experiencias pibidas,2.898592899990035,5.256,esta anécdota hace los crecimientos de cada uno y de las experiencias vividas,2.079716100008227
spontaneous-speech-es-83373.wav,¡Las perros y los gatos!,A las próximas datos.,18.14307620000909,2.52,los perros y los gatos,1.0318590000097174
spontaneous-speech-es-83375.wav,¡Muy poco!,Un motherfucker,14.508377900026971,3.528,muy poco,0.9137268000049517
spontaneous-speech-es-83376.wav,sí,SII,13.433903700002702,3.708,sí,0.9428033000149298
spontaneous-speech-es-83379.wav,Dormir.,Dormís.,2.3291346000041813,1.728,dormir,0.47251580000738613
spontaneous-speech-es-83381.wav,jugar o jugar con la tablet,jugar o jugar con la tanda,2.5460311000060756,5.688,jugar o jugar con la carne,2.3666970999911427
spontaneous-speech-es-83386.wav,decorando su casa.,Decorando su casa.,2.7088042999967,2.376,decorando su casa,0.7446227000036743
spontaneous-speech-es-83388.wav,una buena educación.,abvernado cafil,13.93354499997804,2.268,la buena educación s,0.8113334999943618
spontaneous-speech-es-83391.wav,respetar y ayudar y ayudar a nuestros vecinos.,respetaré a ayudar a nuestros vecinos,2.3099154999945313,7.776,respetar y ayudar y ayudar a nuestros vecinos,2.0964088999899104
spontaneous-speech-es-83393.wav,¡U Lamborghini!,ULAMBORGEMI,2.234583300014492,3.276,o lamborghini,0.9500697999901604
